source_id,title,priority,category,url,status,provider,quality_score,requires_auth,http_status,error_reason,encoding_suspect,recommended_action,recommended_assignee
WEBV3-001,临床实验室生物安全指南（WS/T 442-2024）,P0,标准,https://www.nhc.gov.cn/wjw/s9492/202404/589f2e3d20494d99abd6bebc293d77a7.shtml,error,direct,0.0000,false,412,direct_status_412,false,manual_backfill_or_replace_source,collector
WEBV3-002,临床实验室生物安全指南（WS/T 442-2024）PDF,P0,标准,https://www.nhc.gov.cn/wjw/s9492/202404/589f2e3d20494d99abd6bebc293d77a7/files/1739781668101_79991.pdf,blocked,jina,0.9443,true,200,jina_status_200,false,manual_capture_with_access,collector
WEBV3-003,国家卫生健康委公告（2025年）第1号（涉高等级病原微生物实验室审查职责调整）,P0,制度,https://www.nhc.gov.cn/qjjys/c100016/202501/a1e5ec90c9ea4a9984802228a3505a1c.shtml,error,direct,0.0000,false,412,direct_status_412,false,manual_backfill_or_replace_source,collector
WEBV3-004,国家卫生健康委员会令第14号（2025）,P0,制度,https://www.nhc.gov.cn/wjw/c100221/202506/7575b6894320414f9ff783a4b7a10e3d.shtml,error,direct,0.0000,false,412,direct_status_412,false,manual_backfill_or_replace_source,collector
WEBV3-012,关于加强高校实验室安全工作的意见（教技函〔2019〕36号）,P0,制度,https://www.moe.gov.cn/srcsite/A16/s3336/201904/t20190404_376670.html,blocked,jina,0.9323,true,200,jina_status_200,true,manual_capture_with_access,collector
WEBV3-005,科技部公告（2025年第2号）,P0,制度,https://www.most.gov.cn/tztg/202501/t20250120_192916.html,ok,direct,0.2233,false,200,,false,manual_summary_and_fact_check,cleaner
WEBV3-006,病原微生物实验室生物安全环境管理办法,P0,制度,https://www.mee.gov.cn/gzk/gz/202112/t20211201_962512.shtml,ok,jina,0.9711,false,200,,false,auto_clean_and_ingest_candidate,cleaner
WEBV3-007,中华人民共和国生物安全法（法律文本入口）,P0,制度,https://www.mee.gov.cn/ywgz/fgbz/fl/202303/t20230314_1019536.shtml,ok,jina,0.9519,false,200,,true,manual_clean_encoding_and_fact_check,cleaner
WEBV3-008,中华人民共和国生物安全法（政策库入口）,P0,制度,https://www.gov.cn/zhengce/zhengceku/2020-02/28/content_5484637.htm,ok,jina,0.9764,false,200,,false,auto_clean_and_ingest_candidate,cleaner
WEBV3-009,化工企业生产过程异常工况安全处置准则（试行）,P0,标准,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202404/t20240430_486684.shtml,ok,jina,0.9647,false,200,,false,auto_clean_and_ingest_candidate,cleaner
WEBV3-010,危险化学品登记管理办法（总局令第53号）,P0,制度,https://www.mem.gov.cn/gk/gwgg/agwzlfl/zjl_01/201207/t20120711_233721.shtml,ok,jina,0.9692,false,200,,false,auto_clean_and_ingest_candidate,cleaner
WEBV3-013,教育部《关于加强高校实验室安全工作的意见》政策库入口,P0,制度,https://www.gov.cn/zhengce/zhengceku/2019-10/23/content_5444020.htm,ok,jina,0.9749,false,200,,false,auto_clean_and_ingest_candidate,cleaner
WEBV3-011,“十四五”危险化学品安全生产规划方案,P1,制度,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202203/t20220321_410001.shtml,ok,jina,0.9642,false,200,,false,auto_clean_and_ingest_candidate,cleaner
WEBV3-014,教育部开展加强高校实验室安全专项行动（2021）新闻入口,P1,通用,https://www.moe.gov.cn/jyb_xwfb/s271/202112/t20211231_591762.html,ok,jina,0.7889,false,200,,false,auto_clean_and_ingest_candidate,cleaner
WEBV3-015,教育部办公厅关于做好2025年度高等学校实验室安全工作的通知（高校转发PDF）,P1,制度,https://www.uta.edu.cn/_upload/article/files/63/c7/d2b908084761939b04d68a49106c/4fd41651-8cd6-4d82-af39-2f30fd59fdf0.pdf,ok,jina,0.8443,false,200,,false,auto_clean_and_ingest_candidate,cleaner
WEBV3-016,高等学校实验室安全检查项目表（2025年）PDF（高校转发）,P1,标准,https://lamd.hrbeu.edu.cn/_upload/article/files/1c/98/fb6853594698b180078c0fd2e8b4/d1f10744-775e-4fd8-9da4-15a26ba38ead.pdf,ok,jina,0.9407,false,200,,false,auto_clean_and_ingest_candidate,cleaner
WEBV3-017,教科信厅函〔2026〕4号（弱项排查）高校执行通知线索页,P1,通用,https://sysbc.hlju.edu.cn/info/1088/1903.htm,ok,jina,0.9452,false,200,,true,manual_clean_encoding_and_fact_check,cleaner
WEBV3-018,教科信厅函〔2026〕4号（弱项排查）高校执行通知线索页,P1,通用,https://oalm.swjtu.edu.cn/info/1201/23921.htm,ok,direct,0.4107,false,200,,true,manual_clean_encoding_and_fact_check,cleaner
