source_id,title,source_org,category,subcategory,lab_type,risk_level,hazard_types,url,tags,language,question_hint
WEB8-001,OSHA Laboratory Standards,OSHA,standard,regulation,general,4,general_safety;chemical,https://www.osha.gov/laboratories/standards,osha;standard;regulation,en,How should labs map daily operations to OSHA laboratory standards
WEB8-002,OSHA Culture of Safety for Laboratories,OSHA,training,safety_guidance,general,3,general_safety;lab_management,https://www.osha.gov/laboratories/safety-culture,osha;safety culture;training,en,What safety culture practices does OSHA recommend for laboratories
WEB8-003,OSHA Hazard Recognition and Solutions for Laboratories,OSHA,training,safety_guidance,general,4,general_safety;chemical;electrical,https://www.osha.gov/laboratories/hazard-recognition-solutions,osha;hazard recognition;solutions,en,How can laboratories identify and control common safety hazards according to OSHA
WEB8-004,OSHA Laboratory Additional Resources,OSHA,training,safety_guidance,general,3,general_safety;chemical,https://www.osha.gov/laboratories/resources,osha;resources;training,en,Which OSHA laboratory resources are useful for daily safety management and training
WEB8-005,OSHA Laboratory Safety Guidance PDF,OSHA,standard,regulation,general,4,general_safety;chemical,https://www.osha.gov/sites/default/files/publications/OSHA3404LABORATORY-SAFETY-GUIDANCE.pdf,osha;guidance;pdf,en,What core laboratory safety requirements are covered in OSHA laboratory safety guidance
WEB8-006,OSHA Lab Standard Fact Sheet PDF,OSHA,standard,regulation,chemical,4,chemical;general_safety,https://www.osha.gov/sites/default/files/publications/OSHAFACTSHEET-LABORATORY-SAFETY-OSHA-LAB-STANDARD.pdf,osha;fact sheet;lab standard,en,What key obligations are highlighted in the OSHA laboratory standard fact sheet
WEB8-007,OSHA Chemical Hygiene Plan Fact Sheet PDF,OSHA,standard,regulation,chemical,4,chemical;hazardous_chemicals,https://www.osha.gov/sites/default/files/publications/OSHAFACTSHEET-LABORATORY-SAFETY-CHEMICAL-HYGIENE-PLAN.pdf,osha;chemical hygiene;pdf,en,What should be included in a compliant laboratory chemical hygiene plan
WEB8-008,OSHA Chemical Fume Hoods QuickFacts PDF,OSHA,equipment,safety_guidance,chemical,4,chemical;ventilation,https://www.osha.gov/sites/default/files/publications/OSHAQUICKFACTS-LAB-SAFETY-CHEMICAL-FUME-HOODS.pdf,osha;fume hood;quickfacts,en,What are OSHA quick requirements for safe use of chemical fume hoods
WEB8-009,OSHA Biosafety Cabinets Fact Sheet PDF,OSHA,biosafety,safety_guidance,biosafety,4,biosafety;general_safety,https://www.osha.gov/sites/default/files/publications/OSHAFACTSHEET-LABORATORY-SAFETY-BIOSAFETY-CABINETS.pdf,osha;biosafety cabinet;pdf,en,What controls are required for biosafety cabinet operation in laboratories
WEB8-010,OSHA Electrical Hazards in Labs QuickFacts PDF,OSHA,electrical,safety_guidance,electrical,4,electrical;fire,https://www.osha.gov/sites/default/files/publications/OSHAQUICKFACTS-LAB-SAFETY-ELECTRICAL-HAZARDS.pdf,osha;electrical hazards;quickfacts,en,How should laboratories prevent electrical hazards according to OSHA quick guidance
