id,source_id,quality_score,rewritten
WEB82-001-001,WEB82-001,0.8615,no
WEB82-002-001,WEB82-002,0.8271,no
WEB82-003-001,WEB82-003,0.8611,no
WEB82-004-001,WEB82-004,0.9550,no
WEB82-005-001,WEB82-005,0.8362,no
WEB82-006-001,WEB82-006,0.9543,no
WEB82-007-001,WEB82-007,0.9539,no
WEB82-008-001,WEB82-008,0.8869,no
WEB82-009-001,WEB82-009,0.8700,no
WEB82-010-001,WEB82-010,0.8444,no
WEB82-011-001,WEB82-011,0.9473,no
WEB82-012-001,WEB82-012,0.8482,no
WEB82-013-001,WEB82-013,0.9544,no
WEB82-014-001,WEB82-014,0.8697,no
WEB82-015-001,WEB82-015,0.9551,no
WEB82-016-001,WEB82-016,0.7713,no
WEB82-017-001,WEB82-017,0.8736,no
WEB82-018-001,WEB82-018,0.7017,no
WEB82-019-001,WEB82-019,0.7623,no
WEB82-020-001,WEB82-020,0.7719,no
WEB82-021-001,WEB82-021,0.7692,no
WEB82-022-001,WEB82-022,0.7812,no
WEB82-023-001,WEB82-023,0.7183,no
WEB82-024-001,WEB82-024,0.6597,yes
WEB82-025-001,WEB82-025,0.7338,no
WEB82-026-001,WEB82-026,0.6739,yes
WEB82-027-001,WEB82-027,0.6558,yes
WEB82-028-001,WEB82-028,0.9230,no
WEB82-029-001,WEB82-029,0.9472,no
WEB82-030-001,WEB82-030,0.9477,no
